model_name,num_children,has_parent,is_in_records,license,author
cognitivecomputations/dolphin-2.1-mistral-7b,3,False,False,,
echarlaix/SmolVLM2-256M-Video-Instruct-openvino,3,False,True,apache-2.0,
facebook/wav2vec2-base,3,False,False,,
google-bert/bert-base-uncased,3,False,False,,
google/gemma-2-9b-it,3,False,False,,
Qwen/Qwen2.5-Math-7B,3,False,False,,
google/gemma-3-1b-it,3,False,False,,
Qwen/Qwen3-0.6B,3,False,False,,
OpenBuddy/openbuddy-mistral-7b-v13,3,False,True,apache-2.0,
OpenBuddy/openbuddy-zephyr-7b-v14.1,3,False,True,apache-2.0,
OpenBuddy/openbuddy-llama2-70b-v13.2,3,False,False,,
heegyu/WizardVicuna-open-llama-3b-v2,3,False,True,apache-2.0,
Open-Orca/OpenOrcaxOpenChat-Preview2-13B,3,False,True,llama2,
OpenBuddy/openbuddy-coder-34b-v11-bf16,3,False,False,,
OpenBuddy/openbuddy-deepseek-67b-v15-base,3,False,True,other,
OpenBuddy/openbuddy-llama2-13b64k-v15,3,False,True,llama2,
OpenBuddy/openbuddy-llama2-34b-v11.1-bf16,3,False,False,,
OpenBuddy/openbuddy-llama2-70b-v13-base,3,False,False,,
OpenBuddy/openbuddy-llama3.2-1b-v23.1-131k,3,False,True,llama3.2,
OpenBuddy/openbuddy-qwen2.5llamaify-14b-v23.1-200k,3,False,True,apache-2.0,
OpenBuddy/openbuddy-mistral2-7b-v20.3-32k,3,False,True,apache-2.0,
OpenBuddy/openbuddy-mixtral-7bx8-v18.1-32k,3,False,True,apache-2.0,
OpenBuddy/openbuddy-mixtral-8x7b-v15.1,3,False,False,,
OpenBuddy/openbuddy-mixtral-8x7b-v15.2,3,False,False,,
OpenBuddy/openbuddy-qwen1.5-14b-v20.1-32k,3,False,True,other,
OpenBuddy/openbuddy-qwen1.5-14b-v21.1-32k,3,False,True,other,
OpenBuddy/openbuddy-qwen1.5-32b-v21.2-32k,3,False,True,other,
hedronstone/OpenHermes-7B-Symbolic,3,False,True,apache-2.0,
sentence-transformers/all-mpnet-base-v2,3,False,False,,
huihui-ai/Llama-3.2-1B-Instruct-abliterated,3,False,False,,
unsloth/Qwen2.5-7B-Instruct,3,False,False,,
shleeeee/mistral-ko-OpenOrca-Platypus-v2,3,False,True,other,
stabilityai/sd-turbo,3,False,False,,
t5-small,3,False,False,,
tiiuae/Falcon3-10B-Instruct,3,False,False,,
tiiuae/Falcon3-3B-Instruct,3,False,False,,
unsloth/Meta-Llama-3.1-8B-bnb-4bit,3,False,False,,
unsloth/Qwen2.5-7B,3,False,False,,
unsloth/Qwen3-0.6B-Base,3,False,False,,
lightblue/openorca_stx,3,False,True,llama2,
unsloth/deepseek-r1-distill-llama-8b-unsloth-bnb-4bit,3,False,False,,
unsloth/gemma-3-12b-it-unsloth-bnb-4bit,3,False,False,,
unsloth/phi-4,3,False,False,,
unsloth/qwen2.5-3b-instruct-unsloth-bnb-4bit,3,False,False,,
unsloth/qwen2.5-7b-unsloth-bnb-4bit,3,False,False,,
vishnukv/WestSeverusJaskier-OpenOrca,3,False,True,mit,
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,3,False,False,,
sentence-transformers/all-MiniLM-L6-v2,3,False,False,,
selfcorrexp2/llama3_openmath_1m_ep1,3,False,True,,
rombodawg/Open_Gpt4_8x7B,3,False,False,,
roberta-base-openai-detector,3,False,False,,
m-a-p/OpenCodeInterpreter-DS-1.3B,3,False,True,apache-2.0,
m-a-p/OpenCodeInterpreter-DS-33B,3,False,True,apache-2.0,
meta-llama/Llama-Guard-3-1B,3,False,False,,
microsoft/deberta-v3-large,3,False,False,,
microsoft/speecht5_tts,3,False,False,,
mistralai/Mistral-7B-v0.3,3,False,False,,
mistralai/Mistral-Small-3.1-24B-Instruct-2503,3,False,False,,
openai/clip-vit-base-patch16,3,False,True,,
openai/gpt-oss-120b,3,False,True,apache-2.0,
openbmb/MiniCPM-S-1B-sft,3,False,True,apache-2.0,
openbmb/MiniCPM3-4B,3,False,True,apache-2.0,
openchat/openchat_v3.2,3,False,True,llama2,
opencsg/csg-wukong-1B-chat-v0.1,3,False,True,apache-2.0,
openlm-research/open_llama_7b_v2,3,False,True,apache-2.0,
openvla/openvla-7b,3,False,True,mit,
NurtureAI/OpenHermes-2.5-Mistral-7B-16k,3,False,False,,
- Salesforce/codegen-6B-multi,3,False,False,,
NousResearch/Llama-2-7b-hf,3,False,False,,
- bigcode/starcoder2-7b,3,False,False,,
- Qwen/Qwen3-0.6B,3,False,False,,
- Salesforce/codegen2-3_7B_P,3,False,False,,
- Skywork/Skywork-o1-Open-Llama-3.1-8B,3,False,False,,
- WizardLMTeam/WizardMath-7B-V1.0,3,False,False,,
- adept/persimmon-8b-chat,3,False,False,,
- apple/OpenELM-450M,3,False,False,,
- argilla/notus-7b-v1,3,False,False,,
- black-forest-labs/FLUX.1-schnell,3,False,False,,
- m-a-p/OpenCodeInterpreter-DS-1.3B,3,False,False,,
- codellama/CodeLlama-13b-Python-hf,3,False,False,,
- databricks/dolly-v2-3b,3,False,False,,
- deepseek-ai/DeepSeek-R1,3,False,False,,
- google/gemma-7b-it,3,False,False,,
- laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,3,False,False,,
- lerobot/pi0,3,False,False,,
- llava-hf/llava-v1.6-mistral-7b-hf,3,False,False,,
- Qwen/Qwen2.5-Coder-0.5B-Instruct,3,False,False,,
- Qwen/Qwen2.5-3B-Instruct,3,False,False,,
- Qwen/Qwen2-1.5B,3,False,False,,
- Qwen/Qwen2-0.5B-Instruct,3,False,False,,
NousResearch/Llama-2-13b-hf,3,False,False,,
- EleutherAI/pythia-2.8b,3,False,False,,
- EleutherAI/pythia-6.9b,3,False,False,,
- HuggingFaceH4/zephyr-7b-beta,3,False,False,,
- Intel/neural-chat-7b-v1-1,3,False,False,,
- Intel/neural-chat-7b-v3-3,3,False,False,,
- Locutusque/Hercules-2.5-Mistral-7B,3,False,False,,
- N-Bot-Int/OpenElla3-Llama3.2B,3,False,False,,
- N-Bot-Int/OpenRP3B-Llama3.2,3,False,False,,
- Open-Orca/Mistral-7B-OpenOrca,3,False,False,,
- OpenGVLab/InternVL2_5-8B,3,False,False,,
- OpenGVLab/InternVL3-14B-Instruct,3,False,False,,
- OpenGVLab/InternVL3_5-4B-MPO,3,False,False,,
- OpenVoiceOS/pipertts_pt-PT_dii,3,False,False,,
- Qwen/Qwen2-0.5B,3,False,False,,
- lmsys/vicuna-13b-v1.5,3,False,False,,
- Qwen/Qwen2.5-Coder-14B-Instruct,3,False,False,,
- meta-llama/Llama-3.1-70B,3,False,False,,
- togethercomputer/RedPajama-INCITE-7B-Chat,3,False,False,,
- togethercomputer/RedPajama-INCITE-Chat-3B-v1,3,False,False,,
- togethercomputer/RedPajama-INCITE-Instruct-3B-v1,3,False,False,,
BAAI/bge-reranker-base,3,False,False,,
Darkknight535/OpenCrystal-12B-L3.1-128K,3,False,True,,
Darkknight535/OpenCrystal-L3-15B-v2.1,3,False,True,,
Fredithefish/OpenZephyrChat,3,False,False,,
