child_model,base_model
twelvehertz/open-o3-sft-3,unsloth/Qwen2.5-14B-Instruct
r-three/moose-openmathinstruct_2,meta-llama/Llama-3.1-8B-Instruct
badrben/Open_Ques_Fr_AC4,microsoft/Phi-4-mini-instruct
OpenGVLab/ScaleCUA-3B,- Qwen/Qwen2.5-VL-3B-Instruct
twelvehertz/open-o3-sft-2,unsloth/Qwen2.5-14B-Instruct
twelvehertz/open-o3-sft,unsloth/Qwen2.5-14B-Instruct
nvidia/OpenReasoning-Nemotron-32B,- Qwen/Qwen2.5-32B
nvidia/OpenReasoning-Nemotron-14B,- Qwen/Qwen2.5-14B
nvidia/OpenReasoning-Nemotron-7B,- Qwen/Qwen2.5-7B
nvidia/OpenReasoning-Nemotron-1.5B,- Qwen/Qwen2.5-1.5B
lishuaifu/Phi-4-mini-reasoning-openvino,microsoft/Phi-4-mini-reasoning
ForSureTesterSim/Monarch-OpenR1-Coder,- open-r1/OlympicCoder-7B
Xkev/qwen-2.5-openr1-random-subset-rlsft-wrongcode,Qwen/Qwen2.5-7B-Instruct
KritiBanka1204/opencoder-step1220,infly/OpenCoder-8B-Instruct
KritiBanka1204/opencoder-step976,infly/OpenCoder-8B-Instruct
KritiBanka1204/opencoder-step732,infly/OpenCoder-8B-Instruct
KritiBanka1204/opencoder-step400,infly/OpenCoder-8B-Instruct
mradermacher/OpenBuddy-Qwen3-Coder-30B-A3B-Base-V2-i1-GGUF,OpenBuddy/OpenBuddy-Qwen3-Coder-30B-A3B-Base-V2
mradermacher/OpenBuddy-Qwen3-Coder-30B-A3B-Base-V2-GGUF,OpenBuddy/OpenBuddy-Qwen3-Coder-30B-A3B-Base-V2
openfree/Darwin-Qwen3-4B,- Qwen/Qwen3-4B-Instruct-2507
turingevo/tiny-sd-openvino,segmind/tiny-sd
Aminfri/sdxl-turbo-openvino,stabilityai/sdxl-turbo
Ben-Lustig/OpenRS-GRPO_Qwen3,Qwen/Qwen3-1.7B
openfree/adsd1,- microsoft/Orca-2-7b
openfree/Qwen2.5-Mistral-7B-Instr,- Qwen/Qwen2.5-7B-Instruct
openfree/TinyLlama-SmolLM,- TinyLlama/TinyLlama-1.1B-Chat-v1.0
inferencerlabs/openai-gpt-oss-120b-MLX-6.5bit,openai/gpt-oss-120b
inferencerlabs/openai-gpt-oss-20b-MLX-6.5bit,openai/gpt-oss-20b
MorsiKK/OpenELM-3B-Instruct-Q8_0-GGUF,apple/OpenELM-3B-Instruct
MorsiKK/OpenELM-3B-Instruct-Q6_K-GGUF,apple/OpenELM-3B-Instruct
TrandeLik/base_rt-qwen-qwen2.5-7b-instruct-mnoukhov-openai_summarize_comparisons_tldrprompt-n_epochs1-bs16,Qwen/Qwen2.5-7B-Instruct
aimagelab/ReT2-M2KR-OpenCLIP-ViT-H,- laion/CLIP-ViT-H-14-laion2B-s32B-b79K
